date,close
2015-01-02,169.6877899169922
2015-01-05,166.6233367919922
2015-01-06,165.05397033691406
2015-01-07,167.11068725585938
2015-01-08,170.07608032226562
2015-01-09,168.71316528320312
2015-01-12,167.39151000976562
2015-01-13,166.92066955566406
2015-01-14,165.91294860839844
2015-01-15,164.39305114746094
2015-01-16,166.54901123046875
2015-01-20,166.9042510986328
2015-01-21,167.74671936035156
2015-01-22,170.24130249023438
2015-01-23,169.307861328125
2015-01-26,169.7043914794922
2015-01-27,167.4658966064453
2015-01-28,165.31822204589844
2015-01-29,166.84640502929688
2015-01-30,164.74826049804688
2015-02-02,166.78851318359375
2015-02-03,169.20046997070312
2015-02-04,168.55621337890625
2015-02-05,170.25775146484375
2015-02-06,169.78701782226562
2015-02-09,169.0270233154297
2015-02-10,170.82772827148438
2015-02-11,170.92686462402344
2015-02-12,172.57064819335938
2015-02-13,173.28102111816406
2015-02-17,173.5535888671875
2015-02-18,173.5701446533203
2015-02-19,173.44622802734375
2015-02-20,174.4869842529297
2015-02-23,174.46218872070312
2015-02-24,174.95782470703125
2015-02-25,174.80914306640625
2015-02-26,174.60267639160156
2015-02-27,174.00787353515625
2015-03-02,175.10647583007812
2015-03-03,174.38787841796875
2015-03-04,173.65272521972656
2015-03-05,173.84266662597656
2015-03-06,171.39772033691406
2015-03-09,172.1080780029297
2015-03-10,169.31613159179688
2015-03-11,168.91964721679688
2015-03-12,171.0673065185547
2015-03-13,170.0182647705078
2015-03-16,172.2897491455078
2015-03-17,171.77761840820312
2015-03-18,173.84266662597656
2015-03-19,173.04978942871094
2015-03-20,174.5772247314453
2015-03-23,174.237060546875
2015-03-24,173.2580108642578
2015-03-25,170.71913146972656
2015-03-26,170.3125457763672
2015-03-27,170.70249938964844
2015-03-30,172.78500366210938
2015-03-31,171.27499389648438
2015-04-01,170.66934204101562
2015-04-02,171.28330993652344
2015-04-06,172.43658447265625
2015-04-07,171.98023986816406
2015-04-08,172.56105041503906
2015-04-09,173.3243865966797
2015-04-10,174.27020263671875
2015-04-13,173.48196411132812
2015-04-14,173.81385803222656
2015-04-15,174.59381103515625
2015-04-16,174.54400634765625
2015-04-17,172.5361328125
2015-04-20,174.11257934570312
2015-04-21,173.90516662597656
2015-04-22,174.75978088378906
2015-04-23,175.19947814941406
2015-04-24,175.60606384277344
2015-04-27,174.87586975097656
2015-04-28,175.4318084716797
2015-04-29,174.7099609375
2015-04-30,172.9593048095703
2015-05-01,174.83444213867188
2015-05-04,175.33226013183594
2015-05-05,173.3243865966797
2015-05-06,172.61080932617188
2015-05-07,173.29940795898438
2015-05-08,175.5811309814453
2015-05-11,174.74310302734375
2015-05-12,174.220458984375
2015-05-13,174.2536163330078
2015-05-14,176.0706787109375
2015-05-15,176.26148986816406
2015-05-18,176.8091278076172
2015-05-19,176.75103759765625
2015-05-20,176.62660217285156
2015-05-21,177.14093017578125
2015-05-22,176.7178497314453
2015-05-26,174.81784057617188
2015-05-27,176.47718811035156
2015-05-28,176.27806091308594
2015-05-29,175.18289184570312
2015-06-01,175.5396728515625
2015-06-02,175.36544799804688
2015-06-03,175.83010864257812
2015-06-04,174.3449249267578
2015-06-05,174.04620361328125
2015-06-08,172.97592163085938
2015-06-09,172.95101928710938
2015-06-10,175.0252227783203
2015-06-11,175.58944702148438
2015-06-12,174.2453155517578
2015-06-15,173.49864196777344
2015-06-16,174.44447326660156
2015-06-17,174.72654724121094
2015-06-18,176.54359436035156
2015-06-19,175.75987243652344
2015-06-22,176.66033935546875
2015-06-23,176.78536987304688
2015-06-24,175.5014190673828
2015-06-25,174.96780395507812
2015-06-26,174.9345245361328
2015-06-29,171.26602172851562
2015-06-30,171.62452697753906
2015-07-01,173.00027465820312
2015-07-02,172.84182739257812
2015-07-06,172.3499298095703
2015-07-07,173.4337615966797
2015-07-08,170.52406311035156
2015-07-09,170.83248901367188
2015-07-10,172.98350524902344
2015-07-13,174.89276123046875
2015-07-14,175.6515350341797
2015-07-15,175.59312438964844
2015-07-16,177.002197265625
2015-07-17,177.1522216796875
2015-07-20,177.24395751953125
2015-07-21,176.54359436035156
2015-07-22,176.226806640625
2015-07-23,175.2345733642578
2015-07-24,173.41709899902344
2015-07-27,172.40821838378906
