date,open,high,low,close,volume,split,dividend
2024-06-03,35.45000076293945,62.7400016784668,33.560001373291016,52.7400016784668,11800400,1.0,0.0
2024-06-04,56.5,58.380001068115234,51.900001525878906,54.290000915527344,3302400,1.0,0.0
2024-06-05,56.0,57.599998474121094,51.5,56.29999923706055,2442500,1.0,0.0
2024-06-06,56.2400016784668,57.59000015258789,53.310001373291016,55.630001068115234,4555300,1.0,0.0
2024-06-07,55.65999984741211,55.65999984741211,51.900001525878906,53.06999969482422,1921900,1.0,0.0
2024-06-10,53.0,53.9900016784668,52.13999938964844,52.90999984741211,1222700,1.0,0.0
2024-06-11,52.5099983215332,54.08000183105469,47.36000061035156,50.040000915527344,2311300,1.0,0.0
2024-06-12,50.900001525878906,52.560001373291016,49.09000015258789,52.0,1144400,1.0,0.0
2024-06-13,51.709999084472656,53.45000076293945,51.040000915527344,51.63999938964844,1043800,1.0,0.0
2024-06-14,52.13999938964844,52.13999938964844,46.599998474121094,48.16999816894531,1352600,1.0,0.0
2024-06-17,48.38999938964844,49.90999984741211,47.125999450683594,48.58000183105469,785100,1.0,0.0
2024-06-18,48.849998474121094,49.03300094604492,47.31999969482422,47.52000045776367,1108800,1.0,0.0
2024-06-20,46.90999984741211,48.119998931884766,45.400001525878906,46.75,703800,1.0,0.0
2024-06-21,46.68000030517578,46.83000183105469,44.63999938964844,45.56999969482422,711500,1.0,0.0
2024-06-24,45.13999938964844,45.68000030517578,43.0099983215332,43.68000030517578,1400900,1.0,0.0
2024-06-25,43.0099983215332,43.540000915527344,39.15999984741211,39.959999084472656,2186000,1.0,0.0
2024-06-26,39.560001373291016,39.88999938964844,36.45000076293945,37.880001068115234,1258600,1.0,0.0
2024-06-27,38.93000030517578,40.209999084472656,37.15999984741211,39.13999938964844,959900,1.0,0.0
2024-06-28,39.11000061035156,39.33000183105469,37.380001068115234,39.27000045776367,921200,1.0,0.0
2024-07-01,40.0099983215332,41.209999084472656,39.02000045776367,40.0,1163400,1.0,0.0
2024-07-02,39.790000915527344,40.15999984741211,38.053001403808594,38.72999954223633,637800,1.0,0.0
2024-07-03,38.61000061035156,39.29999923706055,37.380001068115234,37.45000076293945,377300,1.0,0.0
2024-07-05,37.849998474121094,38.38999938964844,37.150001525878906,37.77000045776367,456700,1.0,0.0
2024-07-08,38.31999969482422,39.17900085449219,36.75,37.22999954223633,965800,1.0,0.0
2024-07-09,37.27000045776367,40.5099983215332,36.90999984741211,39.40999984741211,871900,1.0,0.0
2024-07-10,39.61000061035156,41.88999938964844,39.31999969482422,41.83000183105469,1021900,1.0,0.0
2024-07-11,42.3650016784668,43.599998474121094,41.52000045776367,42.7599983215332,890600,1.0,0.0
2024-07-12,43.0,46.04499816894531,42.209999084472656,43.880001068115234,878000,1.0,0.0
2024-07-15,43.95000076293945,46.630001068115234,43.95000076293945,44.52000045776367,873900,1.0,0.0
2024-07-16,44.790000915527344,47.47999954223633,42.619998931884766,44.65999984741211,1445000,1.0,0.0
2024-07-17,40.0,41.0,36.0099983215332,38.34000015258789,3918600,1.0,0.0
2024-07-18,38.4900016784668,40.22999954223633,36.5,37.900001525878906,1346600,1.0,0.0
2024-07-19,38.04999923706055,38.96500015258789,37.060001373291016,37.439998626708984,780800,1.0,0.0
2024-07-22,37.58000183105469,38.310001373291016,36.4900016784668,36.59000015258789,725200,1.0,0.0
2024-07-23,36.47999954223633,37.36000061035156,35.849998474121094,35.939998626708984,640800,1.0,0.0
2024-07-24,35.70000076293945,36.38999938964844,34.87300109863281,36.25,510100,1.0,0.0
2024-07-25,36.13999938964844,39.060001373291016,35.59000015258789,38.310001373291016,1247000,1.0,0.0
